,Unnamed: 0,Name,Market Price,date
0,2,Adanto Vanguard,$0.23,2023-11-29
1,2,Admiral Beckett Brass,$1.17,2023-11-29
2,2,Air Elemental,$0.08,2023-11-29
3,2,Ancient Brontodon,$0.06,2023-11-29
4,2,Angrath's Marauders,$1.66,2023-11-29
5,2,Anointed Deacon,$0.03,2023-11-29
6,2,Arcane Adaptation,$3.15,2023-11-29
7,2,Arguel's Blood Fast,$0.31,2023-11-29
8,2,Ashes of the Abhorrent,$0.52,2023-11-29
9,2,Atzocan Archer,$0.06,2023-11-29
10,2,Axis of Mortality,$0.79,2023-11-29
11,2,Belligerent Brontodon,$0.10,2023-11-29
12,2,Bellowing Aegisaur,$0.37,2023-11-29
13,2,Bishop of Rebirth,$0.38,2023-11-29
14,2,Bishop of the Bloodstained,$0.08,2023-11-29
15,2,Bishop's Soldier,$0.07,2023-11-29
16,2,Blight Keeper,$0.03,2023-11-29
17,2,Blinding Fog,$0.05,2023-11-29
18,2,Bloodcrazed Paladin,$0.30,2023-11-29
19,2,Blossom Dryad,$0.05,2023-11-29
20,2,Bonded Horncrest,$0.04,2023-11-29
21,2,Boneyard Parley,$0.32,2023-11-29
22,2,Brazen Buccaneers,$0.02,2023-11-29
23,2,Bright Reprisal,$0.05,2023-11-29
24,2,Burning Sun's Avatar,$0.30,2023-11-29
25,2,Call to the Feast,$0.12,2023-11-29
26,2,Cancel,$0.06,2023-11-29
27,2,Captain Lannery Storm,$0.33,2023-11-29
28,2,Captivating Crew,$0.50,2023-11-29
29,2,Carnage Tyrant,$8.84,2023-11-29
30,2,Castaway's Despair,$0.10,2023-11-29
31,2,Charging Monstrosaur,$0.10,2023-11-29
32,2,Chart a Course,$0.26,2023-11-29
33,2,Checklist Card - Ixalan,$0.08,2023-11-29
34,2,Cobbled Wings,$0.04,2023-11-29
35,2,Colossal Dreadmaw,$0.08,2023-11-29
36,2,Commune with Dinosaurs,$0.21,2023-11-29
37,2,Conqueror's Galleon,$0.61,2023-11-29
38,2,Contract Killing,$0.07,2023-11-29
39,2,Costly Plunder,$0.18,2023-11-29
40,2,Crash the Ramparts,$0.03,2023-11-29
41,2,Crushing Canopy,$0.04,2023-11-29
42,2,Daring Saboteur,$0.12,2023-11-29
43,2,Dark Nourishment,$0.05,2023-11-29
44,2,Deadeye Plunderers,$0.12,2023-11-29
45,2,Deadeye Quartermaster,$0.27,2023-11-29
46,2,Deadeye Tormentor,$0.03,2023-11-29
47,2,Deadeye Tracker,$0.36,2023-11-29
48,2,Deathgorge Scavenger,$0.45,2023-11-29
49,2,Deathless Ancient,$0.04,2023-11-29
50,2,Deeproot Champion,$0.15,2023-11-29
51,2,Deeproot Warrior,$0.02,2023-11-29
52,2,Deeproot Waters,$0.30,2023-11-29
53,2,Demolish,$0.02,2023-11-29
54,2,Demystify,$0.03,2023-11-29
55,2,Depths of Desire,$0.07,2023-11-29
56,2,Desperate Castaways,$0.02,2023-11-29
57,2,Dinosaur // Treasure (008) Double-sided Token,$0.34,2023-11-29
58,2,Dinosaur // Treasure (009) Double-sided Token,$0.25,2023-11-29
59,2,Dinosaur Stampede,$0.15,2023-11-29
60,2,Dinosaur Token (005),$0.20,2023-11-29
61,2,Dire Fleet Captain,$0.14,2023-11-29
62,2,Dire Fleet Hoarder,$0.05,2023-11-29
63,2,Dire Fleet Interloper,$0.02,2023-11-29
64,2,Dire Fleet Ravager,$0.80,2023-11-29
65,2,Dive Down,$0.12,2023-11-29
66,2,Dowsing Dagger,$3.89,2023-11-29
67,2,Dragonskull Summit,$2.12,2023-11-29
68,2,Dreamcaller Siren,$0.20,2023-11-29
69,2,Drover of the Mighty,$0.25,2023-11-29
70,2,Drowned Catacomb,$3.11,2023-11-29
71,2,Dual Shot,$0.03,2023-11-29
72,2,Duress,$0.03,2023-11-29
73,2,Dusk Legion Dreadnought,$0.08,2023-11-29
74,2,Duskborne Skymarcher,$0.04,2023-11-29
75,2,Elaborate Firecannon,$0.03,2023-11-29
76,2,Emergent Growth,$0.06,2023-11-29
77,2,Emissary of Sunrise,$0.03,2023-11-29
78,2,Emperor's Vanguard,$0.11,2023-11-29
79,2,Encampment Keeper,$0.05,2023-11-29
80,2,Entrancing Melody,$0.16,2023-11-29
81,2,Fathom Fleet Captain,$0.49,2023-11-29
82,2,Fathom Fleet Cutthroat,$0.01,2023-11-29
