,Unnamed: 0,Name,Market Price,date
0,2,Acquisition Octopus,$0.04,2023-11-22
1,2,Akki Ember-Keeper,$0.01,2023-11-22
2,2,Akki Ronin,$0.01,2023-11-22
3,2,Akki Ronin (Showcase),$0.02,2023-11-22
4,2,Akki War Paint,$0.02,2023-11-22
5,2,Ambitious Assault,$0.03,2023-11-22
6,2,Ancestral Katana,$0.02,2023-11-22
7,2,Anchor to Reality,$0.09,2023-11-22
8,2,"Ao, the Dawn Sky",$1.67,2023-11-22
9,2,"Ao, the Dawn Sky (Borderless)",$3.69,2023-11-22
10,2,"Ao, the Dawn Sky (Extended Art)",$2.22,2023-11-22
11,2,Armguard Familiar,$0.02,2023-11-22
12,2,Asari Captain,$0.05,2023-11-22
13,2,Asari Captain (Showcase),$0.04,2023-11-22
14,2,Assassin's Ink,$0.04,2023-11-22
15,2,"Atsushi, the Blazing Sky",$4.35,2023-11-22
16,2,"Atsushi, the Blazing Sky (Borderless)",$6.85,2023-11-22
17,2,"Atsushi, the Blazing Sky (Extended Art)",$4.31,2023-11-22
18,2,Automated Artificer,$0.02,2023-11-22
19,2,Awakened Awareness,$0.01,2023-11-22
20,2,Azusa's Many Journeys,$0.10,2023-11-22
21,2,Bamboo Grove Archer,$0.02,2023-11-22
22,2,Banishing Slash,$0.09,2023-11-22
23,2,Bearer of Memory,$0.01,2023-11-22
24,2,Befriending the Moths,$0.01,2023-11-22
25,2,Behold the Unspeakable,$0.02,2023-11-22
26,2,Biting-Palm Ninja,$0.18,2023-11-22
27,2,Biting-Palm Ninja (Extended Art),$0.19,2023-11-22
28,2,Biting-Palm Ninja (Showcase),$0.45,2023-11-22
29,2,Blade of the Oni,$0.61,2023-11-22
30,2,Blade of the Oni (Extended Art),$0.91,2023-11-22
31,2,Blade of the Oni (Showcase),$1.50,2023-11-22
32,2,Blade of the Oni (Showcase) (Foil Etched),$7.35,2023-11-22
33,2,Blade-Blizzard Kitsune,$0.02,2023-11-22
34,2,Blade-Blizzard Kitsune (Showcase),$0.05,2023-11-22
35,2,Bloodfell Caves,$0.09,2023-11-22
36,2,Blossom Prancer,$0.04,2023-11-22
37,2,Blossoming Sands,$0.07,2023-11-22
38,2,Boon of Boseiju,$0.05,2023-11-22
39,2,Born to Drive,$0.04,2023-11-22
40,2,Boseiju Reaches Skyward,$0.06,2023-11-22
41,2,"Boseiju, Who Endures",$36.98,2023-11-22
42,2,"Boseiju, Who Endures (Borderless)",$39.09,2023-11-22
